yearID,W,ERA,RA
1955,77,3.93,666
1955,60,4.39,767
1955,68,4.56,757
1955,53,4.62,789
1956,69,4.2,705
1956,84,4.17,751
1956,93,3.57,601
1956,85,3.73,634
1956,60,3.96,708
1956,91,3.85,658
1956,88,3.32,581
1956,82,4.06,699
1956,52,4.86,831
1956,92,3.11,569
1956,67,3.78,650
1956,97,3.63,631
1956,71,4.2,738
1956,66,3.74,653
1956,76,3.97,698
1956,59,5.33,924
1957,76,3.46,588
1957,82,3.88,668
1957,84,3.35,591
1957,90,3.35,566
1957,62,4.13,722
1957,80,4.62,781
1957,76,4.06,722
1957,78,3.56,614
1957,59,4.19,710
1957,95,3.47,613
1957,69,4.01,701
1957,98,3,534
1957,77,3.79,656
1957,62,3.88,696
1957,87,3.78,666
1957,55,4.85,808
1958,74,3.4,575
1958,79,3.92,691
1958,82,3.61,615
1958,72,4.22,725
1958,76,3.73,621
1958,77,3.73,635
1958,77,3.59,606
1958,73,4.15,713
1958,71,4.47,761
1958,92,3.21,541
1958,92,3.22,577
1958,69,4.32,762
1958,84,3.56,607
1958,80,3.98,698
1958,72,4.12,704
1958,61,4.53,747
1959,74,3.56,621
1959,75,4.17,696
1959,94,3.29,588
1959,74,4.01,688
1959,74,4.31,738
1959,89,3.75,646
1959,76,4.2,732
1959,66,4.35,760
1959,88,3.79,670
1959,86,3.51,623
1959,79,3.6,647
1959,64,4.27,725
1959,78,3.9,680
1959,83,3.47,613
1959,71,4.34,725
1959,63,4.01,701
1960,89,3.52,606
1960,65,4.62,775
1960,87,3.6,617
1960,60,4.35,776
1960,67,4,692
1960,76,3.95,693
1960,71,3.64,644
1960,58,4.38,756
1960,82,3.4,593
1960,88,3.76,658
1960,97,3.52,627
1960,59,4.01,691
1960,95,3.49,593
1960,79,3.44,631
1960,86,3.64,616
1960,73,3.77,696
1961,95,3.22,588
1961,76,4.29,792
1961,86,4.06,726
1961,64,4.48,800
1961,93,3.78,653
1961,78,4.15,752
1961,101,3.55,671
1961,61,4.74,863
1961,70,4.31,784
1961,89,4.04,697
1961,70,4.28,778
1961,83,3.89,656
1961,109,3.46,612
1961,47,4.61,796
1961,75,3.92,675
1961,85,3.77,655
1961,80,3.74,668
1961,61,4.23,776
1962,77,3.69,680
1962,76,4.22,756
1962,85,3.73,658
1962,59,4.54,827
1962,98,3.75,685
1962,80,4.14,745
1962,85,3.81,692
1962,64,3.83,717
1962,72,4.79,837
1962,86,3.7,706
1962,102,3.62,697
1962,91,3.89,713
1962,86,3.68,665
1962,96,3.7,680
1962,40,5.04,948
1962,81,4.28,759
1962,93,3.37,626
1962,103,3.79,690
1962,84,3.55,664
1962,60,4.04,716
1963,86,3.45,621
1963,76,3.97,704
1963,94,2.97,544
1963,82,3.08,578
1963,86,3.29,594
1963,79,3.79,702
1963,79,3.9,703
1963,66,3.44,640
1963,73,3.92,704
1963,70,3.52,660
1963,99,2.85,550
1963,91,3.28,602
1963,84,3.27,603
1963,104,3.07,547
1963,51,4.12,774
1963,87,3.09,578
1963,74,3.1,595
1963,88,3.35,641
1963,93,3.32,628
1963,56,4.42,812
1964,97,3.16,567
1964,72,4.5,793
1964,98,2.72,501
1964,76,4.08,724
1964,92,3.07,566
1964,79,3.75,693
1964,85,3.84,678
1964,66,3.41,628
1964,57,4.71,836
1964,82,2.91,551
1964,80,2.95,572
1964,79,3.58,678
1964,88,4.12,744
1964,99,3.15,577
1964,53,4.25,776
1964,92,3.36,632
1964,80,3.52,636
1964,90,3.19,587
1964,93,3.43,652
1964,62,3.98,733
1965,94,2.98,578
1965,62,4.24,791
1965,75,3.17,569
1965,95,2.99,555
1965,72,3.78,723
1965,89,3.88,704
1965,87,3.3,613
1965,89,3.35,602
1965,65,3.84,711
1965,59,4.24,755
1965,97,2.81,521
1965,102,3.14,600
1965,86,3.52,633
1965,77,3.28,604
1965,50,4.06,752
1965,85,3.53,667
1965,90,3.01,580
1965,95,3.2,593
1965,80,3.77,674
1965,70,3.93,721
1966,85,3.68,683
1966,97,3.32,601
1966,72,3.92,731
1966,80,3.56,643
1966,83,2.68,517
1966,59,4.33,809
1966,76,4.08,702
1966,81,3.23,586
1966,88,3.85,698
1966,72,3.76,695
1966,74,3.56,648
1966,95,2.62,490
1966,89,3.13,581
1966,70,3.41,612
1966,66,4.17,761
1966,87,3.57,640
1966,92,3.52,641
1966,93,3.24,626
1966,83,3.11,577
1966,71,3.7,659
1967,77,3.47,640
1967,76,3.32,592
1967,92,3.36,614
1967,84,3.19,587
1967,89,2.45,491
1967,87,3.48,624
1967,87,3.05,563
1967,75,3.25,613
1967,91,3.32,587
1967,69,4.03,742
1967,62,3.68,660
1967,73,3.21,595
1967,91,3.14,590
1967,72,3.24,621
1967,61,3.73,672
1967,82,3.1,581
1967,81,3.74,693
1967,91,2.92,551
1967,101,3.05,557
1967,76,3.38,637
1968,81,2.92,549
1968,91,2.66,497
1968,86,3.33,611
1968,67,3.43,615
1968,67,2.75,527
1968,84,3.41,611
1968,83,3.56,673
1968,86,2.66,504
1968,103,2.71,492
1968,72,3.26,588
1968,76,2.69,509
1968,79,2.89,546
1968,83,2.79,531
1968,73,2.72,499
1968,82,2.94,544
1968,76,3.36,615
1968,80,2.74,532
1968,88,2.71,529
1968,97,2.49,472
1968,65,3.64,665
1969,93,3.53,631
1969,109,2.83,517
1969,87,3.92,736
1969,71,3.54,652
1969,68,4.21,723
1969,92,3.34,611
1969,89,4.11,768
1969,62,3.94,717
1969,90,3.31,601
1969,81,3.6,668
1969,69,3.72,688
1969,85,3.08,561
1969,97,3.24,618
1969,52,4.33,791
1969,80,3.23,587
1969,100,2.99,541
1969,88,3.71,678
1969,63,4.14,745
1969,88,3.61,652
1969,52,4.24,746
1969,64,4.35,799
1969,90,3.26,636
1969,87,2.94,540
1969,86,3.49,644
1970,76,4.33,772
1970,108,3.15,574
1970,87,3.87,722
1970,86,3.48,630
1970,56,4.54,822
1970,84,3.76,679
1970,102,3.69,681
1970,76,3.91,675
1970,79,4.09,731
1970,79,4.23,763
1970,65,3.78,705
1970,87,3.82,684
1970,98,3.23,605
1970,65,4.21,751
1970,73,4.5,807
1970,93,3.24,612
1970,83,3.45,630
1970,89,3.3,593
1970,73,4.17,730
1970,89,3.7,664
1970,63,4.36,788
1970,86,4.5,826
1970,76,4.06,747
1970,70,3.8,689
1971,82,3.75,699
1971,101,2.99,530
1971,85,3.8,667
1971,76,3.1,576
1971,79,3.12,597
1971,83,3.61,648
1971,79,3.35,581
1971,60,4.28,747
1971,91,3.63,645
1971,79,3.13,567
1971,85,3.25,566
1971,89,3.23,587
1971,74,3.81,670
1971,69,3.38,609
1971,71,4.12,729
1971,82,3.43,641
1971,83,2.99,550
1971,101,3.05,564
1971,67,3.71,688
1971,97,3.31,599
1971,61,3.22,610
1971,90,3.32,644
1971,90,3.85,699
1971,63,3.7,660
1972,70,4.27,730
1972,80,2.53,430
1972,85,3.47,620
1972,75,3.06,533
1972,87,3.12,538
1972,85,3.22,567
1972,95,3.21,557
1972,72,2.92,519
1972,86,2.96,514
1972,84,3.77,636
1972,76,3.24,545
1972,85,2.78,527
1972,77,2.84,535
1972,65,3.45,595
1972,70,3.59,609
1972,79,3.05,527
1972,83,3.26,578
1972,93,2.58,457
1972,59,3.66,635
1972,96,2.81,512
1972,58,3.78,665
1972,69,3.69,649
1972,75,3.42,600
1972,54,3.53,628
1973,76,4.25,774
1973,97,3.07,561
1973,89,3.65,647
1973,79,3.53,657
1973,77,3.86,705
1973,77,3.66,655
1973,99,3.4,621
1973,71,4.58,826
1973,85,3.9,674
1973,82,3.75,672
1973,88,4.19,752
1973,95,3,565
1973,81,3.77,692
1973,74,3.98,731
1973,79,3.71,702
1973,80,3.34,610
1973,82,3.26,588
1973,94,3.29,615
1973,71,3.99,717
1973,80,3.73,693
1973,60,4.16,770
1973,88,3.79,702
1973,81,3.25,603
1973,57,4.64,844
1974,88,3.05,563
1974,91,3.27,612
1974,84,3.72,661
1974,68,3.52,657
1974,80,3.94,721
1974,66,4.28,826
1974,98,3.41,631
1974,77,3.8,694
1974,72,4.16,768
1974,81,3.46,632
1974,77,3.51,662
1974,102,2.97,561
1974,82,3.64,669
1974,76,3.76,660
1974,79,3.6,657
1974,89,3.31,623
1974,71,3.42,646
1974,90,2.95,551
1974,80,3.91,701
1974,88,3.49,657
1974,60,4.58,830
1974,72,3.78,723
1974,86,3.48,643
1974,84,3.82,698
1975,67,3.91,739
1975,90,3.17,553
1975,95,3.98,709
1975,72,3.89,723
1975,75,3.93,703
1975,75,4.49,827
1975,108,3.37,586
1975,79,3.84,703
1975,57,4.27,786
1975,64,4.04,711
1975,91,3.47,649
1975,88,2.92,534
1975,76,4.05,736
1975,68,4.34,792
1975,75,3.72,690
1975,83,3.29,588
1975,82,3.39,625
1975,98,3.27,606
1975,86,3.82,694
1975,92,3.01,565
1975,71,3.48,683
1975,80,3.74,671
1975,82,3.57,689
1975,79,3.86,733
1976,70,3.86,700
1976,88,3.32,598
1976,83,3.52,660
1976,76,3.36,631
1976,64,4.25,745
1976,75,3.93,728
1976,102,3.51,633
1976,81,3.47,615
1976,74,3.87,709
1976,80,3.56,657
1976,90,3.21,611
1976,92,3.02,543
1976,85,3.69,704
1976,66,3.64,655
1976,55,3.99,734
1976,97,3.19,575
1976,86,2.94,538
1976,87,3.26,598
1976,101,3.08,557
1976,92,3.36,630
1976,73,3.65,662
1976,74,3.53,686
1976,72,3.6,671
1976,76,3.45,652
1977,61,4.85,895
1977,97,3.74,653
1977,97,4.11,712
1977,74,3.72,695
1977,90,4.25,771
1977,81,4.01,739
1977,88,4.21,725
1977,71,4.1,739
1977,74,4.13,751
1977,81,3.54,650
1977,102,3.52,651
1977,98,3.22,582
1977,84,4.36,776
1977,67,4.32,765
1977,75,4.01,736
1977,100,3.61,651
1977,64,3.77,663
1977,63,4.04,749
1977,101,3.71,668
1977,96,3.61,665
1977,69,4.43,834
1977,64,4.83,855
1977,75,3.75,711
1977,83,3.81,688
1977,94,3.56,657
1977,54,4.57,822
1978,69,4.08,750
1978,90,3.56,633
1978,99,3.54,657
1978,87,3.65,666
1978,71,4.21,731
1978,79,4.05,724
1978,92,3.81,688
1978,69,3.97,694
1978,86,3.64,653
1978,74,3.63,634
1978,92,3.44,634
1978,95,3.12,573
1978,73,3.69,678
1978,93,3.65,650
1978,76,3.42,611
1978,100,3.18,582
1978,66,3.87,690
1978,69,3.62,690
1978,90,3.33,586
