Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,Spin Rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K %,BB %,Hard Hit %,Barrel %,ERA (t+1),xwOBA - wOBA,BFP/G,Luck Adjusted ERA
3064,2019,0.234,0.315,0.323,0.327,0.232,150,642,2181,88.1,12,8,33,747,4.34,150,30,84,235,0.315,0.112,38.6,10.7,6.62,0.0040000000000000036,22.636363636363637,4.579007461376489
1053,2019,0.227,0.292,0.274,0.316,0.258,55,242,2105,89.5,4,3,12,260,2.94,55,6,14,69,0.265,0.054,41.4,6.3,6.58,0.04199999999999998,21.666666666666668,3.400886632457256
1387,2019,0.212,0.284,0.287,0.298,0.22,62,293,2227,88.1,1,3,7,151,2.72,25,3,18,43,0.285,0.119,35.9,5.6,2.75,0.01100000000000001,21.571428571428573,3.136235269401059
1325,2019,0.229,0.252,0.298,0.323,0.252,72,315,2193,85.7,7,5,17,349,3.56,72,14,27,71,0.203,0.077,35.6,7.3,5.44,0.025000000000000022,20.529411764705884,3.8212637587120337
1864,2019,0.265,0.303,0.327,0.333,0.263,115,434,1999,85.5,8,8,19,487,3.75,115,16,39,91,0.187,0.08,38.5,6.9,1.99,0.006000000000000005,25.63157894736842,3.9938710101385784
2670,2019,0.27,0.338,0.315,0.303,0.254,174,644,2326,87.2,17,6,33,702,4.02,174,21,47,173,0.246,0.067,39.1,4.4,2.25,-0.01200000000000001,21.272727272727273,3.9785918168961714
2778,2019,0.256,0.297,0.329,0.314,0.242,161,628,2308,85.9,7,14,30,700,4.79,161,29,58,162,0.231,0.083,31.9,5.9,3.29,-0.015000000000000013,23.333333333333332,4.515584497147632
1467,2019,0.248,0.279,0.339,0.345,0.25,80,323,2296,87.6,4,8,17,361,4.92,80,17,28,80,0.222,0.078,36.5,10.7,6.81,0.00599999999999995,21.235294117647058,4.9758360575529155
2960,2019,0.278,0.31,0.338,0.337,0.265,198,712,2368,86.1,14,12,32,768,5.52,198,31,45,143,0.186,0.059,37.6,9.4,5.64,-0.0010000000000000009,24,5.41450799245985
2814,2019,0.205,0.274,0.275,0.287,0.218,131,640,2095,88.9,14,9,29,705,3.41,131,24,57,228,0.323,0.081,34.6,9.4,3.48,0.011999999999999955,24.310344827586206,3.7608423483195006
1364,2019,0.271,0.326,0.353,0.329,0.247,78,288,2441,89.7,4,7,14,326,5.79,78,15,35,81,0.248,0.107,37.5,7.7,4.01,-0.023999999999999966,23.285714285714285,5.529902626489113
3043,2019,0.294,0.35,0.344,0.341,0.277,205,698,2305,86.3,13,10,31,764,4.46,205,26,52,165,0.216,0.068,34.7,7.4,5.16,-0.002999999999999947,24.64516129032258,4.459091860233764
2848,2019,0.213,0.268,0.294,0.302,0.227,140,657,2517,88.3,6,8,31,731,3.98,140,33,56,229,0.313,0.077,37.5,7.4,2.01,0.008000000000000007,23.580645161290324,4.169582830781417
2698,2019,0.249,0.292,0.291,0.302,0.254,168,675,2101,83,11,10,30,730,3.46,168,19,32,150,0.205,0.044,31.5,5.4,2.88,0.01100000000000001,24.333333333333332,3.555438289575166
3687,2019,0.23,0.29,0.316,0.315,0.228,184,800,2456,87.1,9,8,24,664,3.79,127,22,63,185,0.279,0.095,37.7,8.6,1.73,-0.0010000000000000009,27.666666666666668,4.076136576062909
2909,2019,0.196,0.259,0.265,0.29,0.214,122,622,2676,88.4,11,8,31,708,2.87,122,17,68,205,0.29,0.096,33.3,6.8,3.7,0.024999999999999967,22.838709677419356,3.2648048892755885
2211,2019,0.266,0.308,0.326,0.321,0.255,136,512,2214,89.3,3,12,25,556,5.14,136,25,34,129,0.232,0.061,37.6,8.3,3.59,-0.0050000000000000044,22.24,5.077231657600826
3158,2019,0.202,0.265,0.277,0.283,0.21,139,688,2112,91.6,15,8,32,781,3.4,139,22,79,226,0.289,0.101,33.6,5.1,3.21,0.00599999999999995,24.40625,3.5357527506409014
2090,2019,0.209,0.306,0.261,0.27,0.209,96,459,2291,88.6,13,4,21,499,2.71,96,10,37,169,0.339,0.074,34,5.8,3.02,0.009000000000000008,23.761904761904763,3.1132713773164227
3332,2019,0.23,0.298,0.28,0.303,0.244,186,810,2256,88.4,15,8,34,859,3.28,186,31,40,259,0.302,0.047,43.3,8.7,1.63,0.022999999999999965,25.264705882352942,3.7687655214851246
