Pitches,Year,BA,BABIP,wOBA,xwOBA,xBA,Hits,ABs,spin_rate,Velocity,W,L,G,BFP,ERA,H,HR,BB,SO,K_percent,BB_percent,hard_hit_percent,barrel_percent,ERA_t1,BFP_per_G,xwOBA_minus_wOBA,luck_adj_ERA
3247,2015,0.238,0.289,0.29,0.292,0.231,183,769,2199,91.3,6,17,33,860,3.02,183,13,73,171,0.199,0.085,27.7,3.6,6.15,26.060606060606062,0.0020000000000000018,2.969650730143316
3241,2015,0.263,0.312,0.308,0.293,0.237,207,788,2298,85,19,7,32,859,3.89,207,19,53,171,0.199,0.062,29.2,3.5,4.34,26.84375,-0.015000000000000013,3.4997479431577827
3239,2015,0.187,0.232,0.224,0.258,0.214,148,790,2246,89,19,3,32,843,1.66,148,14,40,200,0.237,0.047,27.8,4,4.37,26.34375,0.034,2.213548616073391
3238,2015,0.239,0.308,0.274,0.298,0.243,183,765,2137,93,19,8,32,832,2.6,183,11,44,202,0.243,0.053,34.7,4.3,3.88,26,0.023999999999999966,2.9273930842330085
3235,2015,0.252,0.29,0.304,0.32,0.257,186,737,2053,89,11,11,32,821,3.84,186,18,65,145,0.177,0.079,34.4,5,5.07,25.65625,0.016000000000000014,3.819173404135854
3226,2015,0.268,0.303,0.32,0.33,0.277,193,720,2133,88.3,13,11,33,793,3.42,193,15,68,121,0.153,0.086,34.7,2.8,5.42,24.03030303030303,0.010000000000000009,3.1715701096873703
3194,2015,0.265,0.309,0.323,0.319,0.256,201,758,2130,87.8,11,11,32,831,4.46,201,17,64,147,0.177,0.077,31.5,4.5,4.98,25.96875,-0.0040000000000000036,4.094535216754322
3185,2015,0.24,0.306,0.289,0.283,0.229,183,764,2209,88.5,11,12,32,828,3.34,183,16,47,207,0.25,0.057,28.4,4.4,2.44,25.875,-0.006000000000000005,3.287005423791005
3162,2015,0.227,0.254,0.313,0.321,0.229,156,687,2125,87.6,9,9,33,776,3.59,156,29,71,162,0.209,0.091,35.6,7.9,4.25,23.515151515151516,0.008000000000000007,3.8548097265954433
3109,2015,0.279,0.335,0.335,0.315,0.25,200,718,2095,92.2,6,16,31,804,4.34,200,19,66,165,0.205,0.082,34.4,5.1,4.76,25.93548387096774,-0.020000000000000018,4.172790075464199
3103,2015,0.264,0.306,0.304,0.316,0.262,204,774,2306,90.4,13,10,33,831,3.66,204,24,39,164,0.197,0.047,32.9,4.2,4.87,25.181818181818183,0.01200000000000001,3.5749245625731234
3078,2015,0.217,0.256,0.262,0.296,0.238,166,765,2317,90.4,14,7,31,831,2.73,166,17,59,169,0.203,0.071,34.6,4.5,5.69,26.806451612903224,0.033999999999999975,3.0304612480133395
3060,2015,0.257,0.31,0.32,0.313,0.248,182,707,1987,88.1,12,10,32,791,4.11,182,20,68,168,0.212,0.086,31.8,4.2,5.44,24.71875,-0.007000000000000006,3.835835664211212
3042,2015,0.238,0.285,0.308,0.307,0.233,162,680,2177,85.6,5,9,21,509,3.89,117,14,43,121,0.238,0.084,29.4,5.9,4.48,24.238095238095237,-0.0010000000000000009,3.8161261483853366
3040,2015,0.24,0.291,0.299,0.298,0.237,180,750,1999,88.3,18,9,31,826,3.53,180,23,58,191,0.231,0.07,34.4,4.2,3.82,26.64516129032258,-0.0010000000000000009,3.517305226477934
3014,2015,0.265,0.292,0.336,0.318,0.252,193,729,2162,91.5,14,9,32,809,4.67,193,32,63,150,0.185,0.078,32.8,6.1,4.26,25.28125,-0.018000000000000016,4.458843478966599
3010,2015,0.262,0.293,0.325,0.313,0.253,192,732,2022,88.2,11,8,31,792,3.34,192,28,41,153,0.193,0.052,31.9,6.1,4.96,25.548387096774192,-0.01200000000000001,3.5147829564934208
2983,2015,0.223,0.294,0.281,0.301,0.237,155,695,1980,88.9,12,7,31,773,3.38,155,15,70,205,0.265,0.091,28,4.3,5.46,24.93548387096774,0.019999999999999962,3.2893182769088622
2976,2015,0.215,0.277,0.251,0.263,0.216,149,694,2176,92.2,14,8,30,751,2.54,149,16,38,205,0.273,0.051,29.6,4,3.04,25.033333333333335,0.01200000000000001,2.776528079410249
2976,2015,0.255,0.286,0.323,0.33,0.251,180,706,2143,88.3,11,14,32,800,4.08,180,22,77,137,0.171,0.096,36.9,5.7,4.33,25,0.007000000000000006,4.101225809874914
2947,2015,0.269,0.343,0.312,0.309,0.244,181,673,2229,88.7,11,8,31,758,3.79,181,8,69,169,0.223,0.091,34.5,4.7,4.57,24.451612903225808,-0.0030000000000000027,3.75589255679556
2943,2015,0.267,0.295,0.331,0.33,0.261,176,660,2136,88.1,11,11,31,741,4.99,176,20,64,120,0.162,0.086,32.3,5.1,3.77,23.903225806451612,-0.0010000000000000009,4.556770183571019
2937,2015,0.236,0.276,0.294,0.306,0.242,162,687,1989,90.5,17,7,30,762,3.38,162,19,58,153,0.201,0.076,33.2,4.8,5.09,25.4,0.01200000000000001,3.4669660501095785
2913,2015,0.273,0.324,0.321,0.316,0.257,194,710,2026,90.3,9,13,31,785,4.05,194,17,55,151,0.192,0.07,34.3,4.9,3.28,25.322580645161292,-0.0050000000000000044,3.9503700378779616
2913,2015,0.203,0.217,0.276,0.296,0.222,134,659,2302,85.4,13,8,34,725,3.13,134,24,55,131,0.181,0.076,30.8,5.3,3.48,21.323529411764707,0.019999999999999962,3.294463088465078
2911,2015,0.258,0.306,0.347,0.332,0.255,166,644,2265,88,9,15,30,713,4.28,166,31,52,174,0.244,0.073,39.6,8.1,3.68,23.766666666666666,-0.014999999999999958,4.449329091051176
2909,2015,0.275,0.322,0.316,0.326,0.27,198,720,1864,86.6,7,6,20,509,3.54,132,8,36,90,0.177,0.071,33.1,4.3,3.73,25.45,0.010000000000000009,3.513403865733969
2869,2015,0.232,0.279,0.314,0.317,0.233,152,655,2170,88.9,11,12,31,744,4.55,152,23,79,170,0.228,0.106,33.9,5.9,4.26,24,0.0030000000000000027,4.386534820917445
2844,2015,0.25,0.324,0.301,0.294,0.231,168,671,1999,91.6,14,7,31,755,3.01,168,13,63,184,0.244,0.083,33.6,4.6,3.04,24.35483870967742,-0.007000000000000006,3.207937396712319
2798,2015,0.222,0.277,0.266,0.261,0.214,156,703,2263,93.2,13,8,29,755,2.71,156,18,37,188,0.249,0.049,30.6,3.4,4.86,26.03448275862069,-0.0050000000000000044,2.8162559752007392
2793,2015,0.244,0.3,0.296,0.297,0.248,166,681,2126,86.4,8,7,32,739,3.95,166,17,43,167,0.226,0.058,28.5,3.3,2.13,23.09375,0.0010000000000000009,3.4624275854344173
2791,2015,0.246,0.288,0.308,0.31,0.235,163,663,2112,90.6,11,13,30,752,4.11,163,18,65,148,0.197,0.086,28.7,4.8,4.62,25.066666666666666,0.0020000000000000018,3.830730122276132
2780,2015,0.274,0.317,0.32,0.309,0.251,179,654,1818,87.6,8,11,30,736,4.49,179,15,60,129,0.175,0.082,30,3.5,5.44,24.533333333333335,-0.01100000000000001,3.873156968683269
2777,2015,0.228,0.304,0.28,0.272,0.217,154,675,2136,91.8,14,12,30,730,3.63,154,18,43,216,0.296,0.059,34.5,4.9,3.32,24.333333333333332,-0.008000000000000007,3.672420758240223
2755,2015,0.231,0.273,0.295,0.318,0.244,149,644,1937,88.4,9,9,28,700,3.35,149,18,46,150,0.214,0.066,33.9,6.2,3.69,25,0.02300000000000002,3.5686097833165307
2754,2015,0.243,0.263,0.296,0.337,0.278,174,717,2152,88.3,9,5,21,556,3.56,123,14,34,90,0.162,0.061,35.6,5.3,4.69,26.476190476190474,0.041000000000000036,3.681692217679771
2744,2015,0.287,0.333,0.34,0.334,0.272,196,682,2392,88,9,15,28,737,4.92,196,25,38,149,0.202,0.052,36.3,5.6,3.15,26.321428571428573,-0.006000000000000005,4.669686751444439
2701,2015,0.28,0.309,0.333,0.328,0.268,192,686,1952,85.9,9,10,33,770,4.13,192,20,55,113,0.147,0.071,32.4,4.4,4.91,23.333333333333332,-0.0050000000000000044,3.896048347771174
