player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Andrew Faulkner,123,89.59268292682927,89.1364406779661,1857.0530973451328,0.8121951219512196,0.8853658536585366,0.008130081300813009,0.2857142857142857,0.6071428571428571,0.20833333333333334,0.4135483870967742,605226,508500,2016
Andrew Miller,985,88.65065989847716,89.12935779816513,2367.4701754385965,-0.17451776649746192,0.5520812182741117,0.0010152284263959391,0.16740088105726872,0.3039647577092511,0.26956521739130435,0.22857142857142856,453192,9000000,2016
Anibal Sanchez,2204,88.05149727767694,87.72312243969048,2187.8652130822597,-0.39342105263157895,1.2205989110707804,4.5372050816696913e-4,0.2896281800391389,0.4794520547945205,0.3324396782841823,0.3667491166077739,434671,16800000,2016
Anthony DeSclafani,1649,90.31910248635536,90.50385793018984,2044.4800257731958,-0.45524560339599757,0.7713159490600364,6.064281382656155e-4,0.2619047619047619,0.41534391534391535,0.3028169014084507,0.32839024390243904,543101,540000,2016
Antonio Bastardo,1108,89.01209386281589,88.48783524904215,2373.50525210084,0.48772563176895306,1.5616425992779783,9.025270758122744e-4,0.24675324675324675,0.43722943722943725,0.2974683544303797,0.3487547169811321,455374,5375000,2016
Arodys Vizcaino,661,92.79712556732224,91.404,2396.8992932862193,-0.729803328290469,0.8580937972768532,0.0015128593040847202,0.2222222222222222,0.3055555555555556,0.31868131868131866,0.2844171779141104,527055,897500,2016
Aroldis Chapman,815,98.7079754601227,99.24556962025316,2532.998347107438,0.35828220858895704,1.5671165644171778,0.001226993865030675,0.15204678362573099,0.22807017543859648,0.25,0.20459459459459461,547973,9468443,2016
Arquimedes Caminero,939,96.20319488817891,95.97755102040816,2219.9364358683315,-0.6806176783812566,0.9338658146964857,0.0010649627263045794,0.28717948717948716,0.4717948717948718,0.3333333333333333,0.4004273504273504,491708,532500,2016
Bartolo Colon,2462,87.75432750914263,85.86450144807613,2133.001259445844,-1.1217797643234457,1.012027631044291,4.0617384240454913e-4,0.26120556414219476,0.42040185471406494,0.2813102119460501,0.31345132743362836,112526,7250000,2016
Blaine Hardy,380,84,83.77195767195767,2097.9438502673797,0.36236842105263156,1.076578947368421,0.002631578947368421,0.25,0.39285714285714285,0.2835820895522388,0.32191489361702125,543278,520500,2016
