player_name,pitch_category,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,BAA,SLGA,BABIPA,wOBAA
Caleb Smith,Fastball,137,92.1,90.4,2498.2,0.861,1.578,0.007,0.150,0.300,0.125,0.336
Caleb Smith,Off-speed,130,82.0,80.2,2372.2,0.105,0.442,0.008,0.107,0.321,0.071,0.245
Caleb Thielbar,Fastball,202,89.8,90.4,2421.3, 0.130, 1.620,0.005,0.213,0.234,0.303,0.261
Caleb Thielbar,Off-speed,169,72.7,72.8,2531.4,-0.809,-0.941,0.006,0.154,0.192,0.222,0.190
Cam Bedrosian,Fastball,127,92.2,91.7,2356.9,-0.395, 1.644,0.008,0.231,0.269,0.286,0.274
Cam Bedrosian,Off-speed,114,81.3,80.8,2519.9, 0.363,-0.549,0.009,0.160,0.240,0.190,0.211
Cam Hill,Fastball,141,92.1,92.9,2301.4,-0.322, 1.438,0.007,0.229,0.457,0.200,0.319
Cam Hill,Off-speed,150,82.2,82.6,2654.9, 0.805,-0.369,0.007,0.107,0.321,0.067,0.264
Carlos Carrasco,Fastball,374,93.8,94.4,2470.3,-0.737,1.261,0.003,0.226,0.396,0.289,0.323
Carlos Carrasco,Off-speed,727,86.9,87.8,2184.2,-0.126,0.076,0.001,0.221,0.354,0.298,0.298
Carlos Estevez,Fastball,268,96.9,97.3,2167.5,-0.719,1.257,0.004,0.246,0.609,0.262,0.406
Carlos Estevez,Off-speed,168,87.5,87.7,2107.0,-0.030,0.157,0.006,0.457,0.629,0.552,0.531
Carlos Hernandez,Off-speed,228,89.6,90.9,2192.2,-0.426,0.562,0.004,0.315,0.519,0.359,0.402
Carlos Martinez,Fastball,140,93.3,92.6,2131.9,-0.691,1.079,0.007,0.400,0.743,0.400,0.487
Carlos Martinez,Off-speed,262,86.0,85.0,2056.0,-0.306,0.132,0.004,0.321,0.571,0.350,0.409
Carson Fulmer,Fastball,102,92.5,92.3,2225.9,-0.646,1.280,0.010,0.188,0.375,0.182,0.383
Casey Mize,Fastball,138,93.7,93.7,2245.5,-0.899,1.233,0.007,0.143,0.333,0.154,0.297
Casey Mize,Off-speed,405,88.7,89.4,2001.9,-0.683,0.263,0.002,0.280,0.516,0.294,0.420
Casey Sadler,Off-speed,347,87.1,86.9,2648.6,-0.156,0.197,0.003,0.205,0.397,0.245,0.319
Cesar Valdez,Off-speed,179,78.6,77.5,1818.7,-0.905,-0.346,0.006,0.146,0.229,0.189,0.188
Chad Green,Fastball,314,95.5,95.8,2472.2,-0.456, 1.558,0.003,0.111,0.302,0.083,0.210
Chad Green,Off-speed,111,85.0,85.6,2527.9, 0.255,-0.435,0.009,0.222,0.370,0.278,0.272
Chad Kuhl,Off-speed,776,89.3,90.1,2308.7,-0.249,0.398,0.001,0.216,0.401,0.243,0.340
Charlie Morton,Fastball,234,93.4,93.6,2349.0,-0.862, 1.212,0.004,0.277,0.404,0.400,0.367
