player_name,Pitches,Average Pitch Speed,Average Effective Pitch Speed,Average Spin Rate,Average Horizontal Break,Average Vertical Break,Corner %,SO,BAA,SLGA,BABIPA,wOBAA,mlb_id,salary,yearID
Drew Pomeranz,2470,85.85623481781377,83.67328182187882,2324.6477366255144,0.14753036437246964,0.4497165991902834,4.048582995951417e-4,158,0.2130841121495327,0.35700934579439253,0.18461538461538463,0.2904690117252931,519141,1350000,2016
Drew Smyly,2515,85.97383697813122,84.07253098760496,2031.152855993564,0.6444532803180915,1.3856461232604373,3.9761431411530816e-4,145,0.27319587628865977,0.47766323024054985,0.2322695035460993,0.34500789889415484,592767,3750000,2016
Drew Storen,790,87.31569620253164,86.49277566539924,2156.9934123847165,-0.49354430379746833,0.3891139240506329,0.0012658227848101266,43,0.28342245989304815,0.45989304812834225,0.2596685082872928,0.3784878048780488,519322,8375000,2016
Dylan Bundy,1586,89.38379571248424,88.91678366305041,2302.7699228791776,-0.5,1.1820302648171501,6.305170239596469e-4,88,0.25290697674418605,0.4186046511627907,0.22054380664652568,0.3306117021276596,605164,1800000,2016
Edinson Volquez,2883,88.320575988896593,88.6044599303136,2176.670679886686,-0.7966342817487856,0.5578070784177654,3.46860908775581e-4,127,0.2893553223388306,0.4482758620689655,0.26380368098159507,0.3611733333333334,450172,9500000,2016
Erasmo Ramirez,1210,88.80867768595041,88.3399173553719,2164.7436974789916,-0.8919834710743801,1.0001652892561983,8.264462809917355e-4,59,0.2733333333333333,0.45666666666666667,0.23875432525951557,0.3483024691358025,541640,2375000,2016
Eric O'Flaherty,387,89.17312661498708,87.50155440414508,2018.7183544303798,0.5896640826873385,0.7023255813953488,0.002583979328165375,19,0.3238095238095238,0.4857142857142857,0.30392156862745096,0.3817699115044248,447714,1750000,2016
Ervin Santana,2597,88.93963790446841,88.24267900241351,2115.794101583834,-0.14973035439137133,1.0583204930662558,3.850596842510589e-4,129,0.25326797385620914,0.39215686274509803,0.2287145242070117,0.31147590361445787,429722,13500000,2016
Evan Scribner,190,83.69105263157894,82.80611111111111,2488.1,-0.08526315789473685,0.4936842105263158,0.005263157894736842,15,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.17914893617021277,519267,807500,2016
Felix Hernandez,2015,87.42511166253102,87.23986051502146,2011.929569591951,-0.5793052109181142,0.35652605459057074,4.962779156327543e-4,93,0.2452431289640592,0.4059196617336152,0.21710526315789475,0.3397943925233645,433587,25857143,2016
